pays,continent,date_extraction,temperature,humidite,pression,description
Allemagne,Europe,2025-06-30 17:15:07,27.14,33,1021,clear sky
Afghanistan,Asie,2025-06-30 17:15:29,31.34,15,996,clear sky
États-Unis,Amérique,2025-06-30 17:15:12,18.23,54,1016,clear sky
Espagne,Europe,2025-06-30 17:15:22,36.78,19,1015,clear sky
Chili,Amérique,2025-06-30 17:15:31,9.46,61,1021,broken clouds
Australie,Océanie,2025-06-30 17:15:15,5.78,84,1024,overcast clouds
Belgique,Europe,2025-06-30 17:15:24,32.7,44,1018,overcast clouds
Algérie,Afrique,2025-06-30 17:15:20,29.9,48,1015,few clouds
Pérou,Amérique,2025-06-30 17:15:30,17.72,92,1015,overcast clouds
Italie,Europe,2025-06-30 17:15:08,25.03,88,1018,broken clouds
Fidji,Océanie,2025-06-30 17:15:33,20.71,100,1016,scattered clouds
Iran,Moyen-Orient,2025-06-30 17:15:35,38.73,8,996,clear sky
Autriche,Europe,2025-06-30 17:15:23,31.37,40,1017,few clouds
Pays-Bas,Europe,2025-06-30 17:15:25,28.43,47,1019,few clouds
Égypte,Afrique,2025-06-30 17:15:05,38.42,20,1003,clear sky
Mexique,Amérique,2025-06-30 17:15:29,25.76,93,1009,overcast clouds
Brésil,Amérique,2025-06-30 17:15:13,22.51,49,1023,clear sky
Israël,Moyen-Orient,2025-06-30 17:15:17,30.4,41,1004,clear sky
Irak,Moyen-Orient,2025-06-30 17:15:36,42.95,8,994,clear sky
Cuba,Amérique,2025-06-30 17:15:33,29.24,70,1019,few clouds
Norvège,Europe,2025-06-30 17:15:23,22.33,37,1017,scattered clouds
Haïti,Amérique,2025-06-30 17:15:32,31.79,58,1017,scattered clouds
Nigeria,Afrique,2025-06-30 17:15:19,26.69,74,1011,overcast clouds
Vietnam,Asie,2025-06-30 17:15:26,26.86,91,1002,moderate rain
Nouvelle-Zélande,Océanie,2025-06-30 17:15:15,5.81,87,1027,overcast clouds
France,Europe,2025-06-30 17:15:06,34.58,34,1015,clear sky
Japon,Asie,2025-06-30 17:15:09,27.12,80,1012,clear sky
Mali,Afrique,2025-06-30 17:15:18,33.23,55,1007,scattered clouds
Grèce,Europe,2025-06-30 17:15:24,32.17,34,1011,clear sky
Qatar,Moyen-Orient,2025-06-30 17:15:37,38.99,30,993,clear sky
Chine,Asie,2025-06-30 17:15:10,27.94,71,1003,overcast clouds
Bolivie,Amérique,2025-06-30 17:15:31,8.99,76,1022,few clouds
Éthiopie,Afrique,2025-06-30 17:15:21,14.49,82,1013,broken clouds
Kenya,Afrique,2025-06-30 17:15:04,18.63,65,1016,overcast clouds
Ghana,Afrique,2025-06-30 17:15:20,27.23,83,1012,overcast clouds
Malaisie,Asie,2025-06-30 17:15:28,27.65,72,1008,clear sky
Turquie,Moyen-Orient,2025-06-30 17:15:16,24.0,46,1009,overcast clouds
Philippines,Asie,2025-06-30 17:15:27,25.62,93,1009,overcast clouds
Afrique du Sud,Afrique,2025-06-30 17:15:05,17.93,42,1025,clear sky
Canada,Amérique,2025-06-30 17:15:12,23.82,62,1015,scattered clouds
Arabie Saoudite,Asie,2025-06-30 17:15:11,42.17,5,999,overcast clouds
Papouasie-Nouvelle-Guinée,Océanie,2025-06-30 17:15:34,24.67,90,1010,scattered clouds
Sénégal,Afrique,2025-06-30 17:15:18,27.92,75,1012,clear sky
Royaume-Uni,Europe,2025-06-30 17:15:07,32.03,44,1017,clear sky
Argentine,Amérique,2025-06-30 17:15:14,3.12,83,1031,clear sky
Corée du Sud,Asie,2025-06-30 17:15:25,26.08,88,1012,overcast clouds
Madagascar,Afrique,2025-06-30 17:15:03,17.98,63,1021,broken clouds
Inde,Asie,2025-06-30 17:15:10,28.09,89,998,light intensity drizzle
Thaïlande,Asie,2025-06-30 17:15:27,27.78,56,1006,overcast clouds
